FarmerID,BVN,Full Name,GSM,State,Crop,Farm Size (Ha),Inputs Redeemed,Registration Date,Bank
FRM324817,2777416521,IBRAHIM BELLO,0806 040 7781,Ibadan,RICE,1.03,Yes,18/12/1970,GTBANK
FRM813469,18695490149,amina BELLO,+2349058144048,lagos,RICE,6.24,No,24/2/1966,GTBANK
FRM858668,92010466799,Emeka mohammed,0803 846 3951,Kastina,CASSAVA,6.91,Yes,1971-08-14,First Bank 
FRM677203,30871966119,fatima OYEBANJO,+2348033314312,lagos,RICE,10.07,No,2/5/64,UBA 
FRM915564,96872178216,fatima okafor,8060100969,Benue,MAIZE,10.61,no,16/9/77,GTB
FRM730969,75277946316,tunde obi,08068369856,lagos,maize,1.1,Yes,24/7/1964,GTB
FRM549241,7911470683,ngozi nwosu,+2348062638979,Lagos,cassava,2.87,no,1971-09-01,gtbank 
FRM566955,87956005619,Musa Sani,07011204606,Kastina,Sorgum ,7.82,n,1977-06-13,uba
FRM333581,49708957183,Aisha idris,+2347013180463,Benue,Rice,5.26,Yes,28/11/80,UBA 
FRM596328,56103908357,chidi BELLO,08065137147,ABUJA,Rice,9.21,n,18/2/01,Access
FRM114969,45131106268,chidi adeyemi,0701 654 3495,Lagos,Maiz,10.94,YES,1966-08-04,access
FRM322751,99921631964,tunde OYEBANJO,+2349051249814,Rivers,Maiz ,11.81,No,26-01-1984,UBA
FRM871540,56604108095,ngozi mohammed,09053126213,Kastina,CASSAVA,6.91,No,10/10/81,first bank
FRM340950,58845927447,Emeka USMAN,0701 715 6375,Port Harcourt,MAIZE,11.32,no,18-03-1999,UBA 
FRM179293,63669027152,Emeka OYEBANJO,0806 735 6322,kano,maize ,9.08,No,15-10-1968,access
FRM952507,2400422720,amina OYEBANJO,0806 045 8692,Lagos,maiz,5.72,YES,08-01-2005,gtbank
FRM880177,8773695037,IBRAHIM BELLO,08062213822,Port Harcourt,Maiz ,6.77,y,22/5/1968,GTB
FRM624614,53356206103,ngozi nwosu,7013733611,Benue,maize ,11.07,n,14/11/2003,Access 
FRM457838,65912881067,ngozi BELLO,9055549893,Port Harcourt,maiz,2.2,No,8/11/1997,gtbank
FRM244559,25698020018,amina Sani,7012995644,Kastina,maize,8.13,no,07-11-1991,First Bank 
FRM992314,0460299614,IBRAHIM adeyemi,8039726549,Ibadan,Cassava ,0.88,YES,1995-10-26,UBA
FRM572343,54554338397,tunde USMAN,0905 730 0308,lagos,cassava,8.3,No,18/4/96,gtbank 
FRM435468,86841787129,Musa Sani,0803 195 6071,Kaduna,Maiz,4.71,n,1960-05-21,gtbank 
FRM614150,9402570542,tunde BELLO,0905 697 7321,ABUJA,Sorgum ,9.86,no,15/4/81,uba
FRM999012,62547378477,Musa BELLO,8030209764,ABUJA,MAIZE,7.84,YES,13-07-2005,GTB
