Student ID,NIN,First Name,Surname,Sex,DOB,State of Origin,Class,Exam Score,On Scholarship,Guardian Phone
STU454159,35742109915,Emeka,nwosu,F,1973-04-10,Port Harcourt,primary 5,55,no,9059076916
STU362287,48958705586,chidi,idris,male,8/8/1985,Lagos,PRIMARY 5,86,no,0806 101 5940
STU413221,85529993829,ADA,obi,FEMALE,17/11/1962,lagos,jss1,11,No,0806 547 2070
STU474518,66058260103,amina,nwosu,M,1985-06-05,lagos,Primary 5 ,46,Yes,08065120338
STU556440,52701252882,ADA,idris,FEMALE,1985-02-12,Rivers,Primary 5,68,No,07015889384
STU891992,76823002043,Emeka,okafor,FEMALE,1993-03-14,Kastina,sss 2 ,85,y,+2348063534811
STU605303,51290537998,IBRAHIM,mohammed,male,26/5/92,Port Harcourt,PRIMARY 5,99,No,8067202993
STU634058,64173308956,chidi,OYEBANJO,M,1996-09-16,Kaduna,SSS2 ,22,no,8065406737
STU121956,06061462634,Aisha,Sani,F,1973-11-27,lagos,SSS2,4,n,8064384168
STU270981,41455738828,Aisha,obi,F,5/12/94,Port Harcourt,sss 2,21,n,9058712477
STU251812,48147599836,ngozi,mohammed,M,7/4/1978,Rivers,jss1,3,y,9055061351
STU499001,95794895937,ADA,okafor,FEMALE,1995-07-09,ABUJA,jss1,80,no,08036188227
STU100615,23910914442,tunde,BELLO,FEMALE,9/7/75,Ibadan,Primary 5 ,57,No,+2348060010641
STU250973,53431111104,tunde,obi,FEMALE,19-12-2004,lagos,primary 5,75,no,0803 314 8935
STU149318,77092085924,Emeka,idris,F,1990-08-28,Rivers,JSS1 ,53,n,0701 051 2355
STU551181,30641045127,Aisha,mohammed,F,05-07-1986,Kastina,sss 2,92,no,9057417241
STU991741,10599161877,chidi,BELLO,FEMALE,5/6/1984,ABUJA,Primary 5,30,No,8066866066
STU165334,22433045968,Musa,nwosu,F,01-05-1962,ABUJA,SSS2,45,Yes,08030640875
STU527032,53664252858,ngozi,okafor,M,28-03-2002,kano,sss 2,62,n,07015561124
STU524056,22471968962,ngozi,mohammed,F,7/3/77,Benue,jss1,31,YES,0806 420 8405
STU519756,38021992158,ADA,Sani,M,27/2/2000,lagos,JSS1,45,y,7010220858
STU771138,28606207850,Aisha,Sani,M,10/10/1995,Kaduna,SSS2,87,Yes,7012679810
STU149791,96662775358,ngozi,adeyemi,FEMALE,7/8/1984,Benue,JSS1 ,78,y,+2347018474051
STU850900,60847747803,IBRAHIM,obi,FEMALE,4/12/1962,Kastina,sss 2,11,YES,08063706260
STU352085,84003833785,Aisha,nwosu,male,1981-11-02,lagos,JSS1,89,YES,9057738220
