Account Number,BVN,NIN,Account Name,Phone,Email,Account Type,KYC Tier,State,Balance,Active
1644277488,87569748821,77649250556,tunde okafor,08038639222,bad-email,SAVINGS,Tier1,Port Harcourt,"12,500.75",y
5839226434,82571952270,1470417253,ADA BELLO,0803 807 5477,bad-email,current ,tier 1,Benue,"N45,000",Yes
6309519894,10929653937,80273738647,amina USMAN,0803 879 8814,bad-email,savings ,tier3,ABUJA,N/A,No
6028286057,76400340090,85583194144,Aisha BELLO,0701 845 0814,ADA@X.IO,Current,TIER 2,Lagos,N/A,n
5558238428,29733667831,02657375221,chidi nwosu,07013965610,musa@mail.com,savings,TIER 2,Kastina,30000,y
1248643691,47393344319,64665549482,IBRAHIM OYEBANJO,+2348060710990,musa@mail.com,current,tier3 ,Rivers,30000,n
2157015836,7084379737,44384376006,tunde idris,7014340288,n@bank.ng,SAVINGS,TIER1,lagos,"12,500.75",Yes
6934346972,52994916635,28754086521,amina okafor,09055362198,n@bank.ng,current,Tier1 ,lagos,N/A,YES
3512904538,66719878496,85622000115,amina nwosu,8064586131,bad-email,current,tier3,Rivers,N/A,y
5922417141,93037429847,28360386243,ngozi adeyemi,+2348031635601,bad-email,savings,tier 1,lagos,30000,no
4373649887,28898212195,28259503691,fatima idris,+2349055978113,n@bank.ng,savings,TIER 2,lagos,N/A,y
5149860361,82583229354,05601020991,amina USMAN,0803 404 6849,n@bank.ng,current,TIER 2 ,Lagos,30000,YES
3029080142,08662254447,6103463102,Aisha OYEBANJO,0701 426 8526,n@bank.ng,Current,tier 1,Rivers,30000,Yes
6123063887,50145313622,22290811468,Emeka idris,+2348036897885,bad-email,savings,tier3,Kaduna,"N45,000",YES
8359494322,6364834811,78711483003,amina okafor,+2349059980847,bad-email,current,tier 2,kano,30000,y
9643807791,8439397605,1107389999,Musa nwosu,+2347016314328,n@bank.ng,CURRENT,TIER 2,lagos,"N45,000",no
3474931145,33901988597,37131444572,amina nwosu,8034543714,n@bank.ng,savings,tier 2,lagos,"12,500.75",YES
1581498555,1164821204,12916324180,Aisha OYEBANJO,0806 188 2067,bad-email,current ,TIER 2,Benue,"N45,000",y
3171474206,97097932958,79563659575,chidi idris,09053506916,ADA@X.IO,current,TIER 1,Ibadan,30000,No
3456318326,22483911746,7866952163,tunde OYEBANJO,8030259597,ADA@X.IO,Current,TIER 2 ,ABUJA,"$1,200.50",YES
7297396546,51420933398,1079988348,ngozi adeyemi,+2348036291840,bad-email,CURRENT,TIER 2,ABUJA,"N45,000",YES
2854338279,0523908337,17375863365,tunde adeyemi,0803 712 7275,bad-email,savings,tier3 ,Kastina,"$1,200.50",y
4908157784,97521108571,04729394444,ADA mohammed,8036930051,ADA@X.IO,current,TIER3,Kastina,N/A,no
5762510506,2261983973,91430851063,chidi BELLO,0701 072 1457,n@bank.ng,SAVINGS ,tier 2,Ibadan,"$1,200.50",n
3178685927,93389700939,02892705378,Musa mohammed,0905 549 1056,ADA@X.IO,current,TIER1,Kastina,30000,y
