Enrollee No,NIN,First Name,Surname,Sex,DOB,Ph No,State of Residence,Blood Group,Plan,Premium,Payment Made
ENR168029,04888914424,chidi,BELLO,F,20/12/71,9050799145,Lagos,B+,basic,"N45,000",Yes
ENR859323,86453675550,tunde,mohammed,F,11/9/65,8069534466,Kaduna,AB+ ,basic ,"N45,000",Yes
ENR459504,2409629105,Aisha,Sani,FEMALE,1960-03-09,8031909561,lagos,a+,PREMUIM,"$1,200.50",no
ENR675921,71587118155,Musa,OYEBANJO,FEMALE,14-08-1968,+2347012498563,Kastina,b+,basic ,30000,no
ENR358828,07141065744,fatima,BELLO,male,3/1/97,0905 291 2269,Kastina,b+,PREMUIM,30000,no
ENR174089,76590772430,IBRAHIM,mohammed,FEMALE,04-06-1981,0701 683 9580,Kastina,O-,FAMILY,"N45,000",Yes
ENR315574,37586367632,Musa,Sani,FEMALE,16/1/72,08030420688,Benue,AB+,basic ,"12,500.75",No
ENR172543,4439561494,chidi,OYEBANJO,FEMALE,28-10-1994,0701 460 4892,kano,o-,premuim,"N45,000",no
ENR829631,19270759930,amina,adeyemi,M,3/3/1986,0803 376 3703,ABUJA,B+ ,PREMIUM,N/A,n
ENR148709,03015340782,ngozi,okafor,M,22/12/66,+2348039839086,Port Harcourt,O-,premium,N/A,no
ENR916549,17329284133,IBRAHIM,adeyemi,male,14/1/96,07010734729,Lagos,a+,family,"$1,200.50",No
ENR728051,01009080694,ngozi,okafor,FEMALE,18/6/1999,0701 446 1235,kano,O-,premium,"N45,000",no
ENR980043,54873304947,ngozi,idris,FEMALE,2001-07-16,+2348031292872,Ibadan,AB+,PREMIUM,N/A,n
ENR680318,64711070406,Musa,okafor,FEMALE,18-12-1960,+2348030276154,ABUJA,AB+,family,N/A,Yes
ENR869798,05872309874,amina,Sani,FEMALE,19/4/02,0701 534 7693,Rivers,B+,basic,"12,500.75",no
ENR585247,52809761402,ngozi,OYEBANJO,FEMALE,1/8/1984,+2348035708836,Port Harcourt,O+,PREMUIM,"$1,200.50",Yes
ENR815943,17005785725,amina,USMAN,M,28-03-2000,7019769574,Kastina,A+,PREMUIM,"12,500.75",y
ENR549625,97154846290,ngozi,adeyemi,FEMALE,19-09-1984,07018242844,Rivers,a+,family,"12,500.75",n
ENR355499,2330792705,Musa,OYEBANJO,F,1983-10-12,0701 471 3170,Rivers,O+,family,"$1,200.50",No
ENR813083,33024682409,tunde,OYEBANJO,M,21-08-1969,+2349053739789,Lagos,b+,basic,"N45,000",y
ENR325433,71077487220,amina,idris,FEMALE,02-01-1986,08036607168,Kaduna,O+,premuim,"12,500.75",No
ENR732779,58944164737,Aisha,OYEBANJO,FEMALE,2003-09-20,+2348062193653,Lagos,b+,PREMUIM,30000,n
ENR759577,64860467174,Musa,obi,male,2/7/2005,8035886925,Rivers,B+,premium,30000,n
ENR295389,75742322115,ngozi,nwosu,FEMALE,23-08-1973,08061445330,lagos,o+,FAMILY,"$1,200.50",y
ENR372940,55603795602,Aisha,adeyemi,male,1986-12-09,08030790334,Benue,A+,basic ,"$1,200.50",n
