Household ID,Head NIN,Head Name,Sex of Head,Phone,State,Household Size,Poverty Score,Programme,Transfer Amount,Payment Status
HH22872,30528236442,amina OYEBANJO,F,+2348033660451,lagos,5,0.318,nctp,30000,No
HH99020,75682483588,amina idris,F,8069818993,lagos,3,0.746,GRANT,N/A,y
HH18090,52750118125,IBRAHIM USMAN,FEMALE,+2349051848623,kano,3,0.715,Cash Transfer ,30000,n
HH86204,84563787221,IBRAHIM adeyemi,M,+2348031311894,Kastina,4,0.762,CASH TRANSFER,"12,500.75",YES
HH50790,23966060561,chidi nwosu,male,9055197017,Lagos,9,0.119,grant,"N45,000",No
HH85827,12084524820,ADA obi,FEMALE,0905 387 7163,kano,7,0.734,cash transfer,"$1,200.50",no
HH89399,68903591254,ngozi USMAN,M,08038779776,Rivers,11,0.104,NCTP ,"N45,000",Yes
HH70524,3814945140,Aisha BELLO,F,0803 801 4975,Kastina,8,0.549,grant ,N/A,YES
HH56759,2981245011,amina mohammed,FEMALE,8037822646,Rivers,8,0.0,cash transfer,"12,500.75",n
HH32440,1854638394,chidi BELLO,FEMALE,+2348030557507,Lagos,9,0.769,grant,"N45,000",YES
HH81198,0422892653,ngozi Sani,FEMALE,08061466945,Rivers,9,0.085,GRANT,"12,500.75",YES
HH29105,07059627619,ADA Sani,F,9052368410,kano,6,0.436,grant,"$1,200.50",no
HH67610,33678217166,fatima idris,FEMALE,0905 457 8218,Ibadan,8,0.663,cash transfer,"12,500.75",No
HH51617,88112381588,ngozi nwosu,male,8067161950,Benue,12,0.202,CASH TRANSFER,"$1,200.50",No
HH85399,8156203367,chidi mohammed,F,0905 481 2732,lagos,10,0.671,Cash Transfer ,"N45,000",n
HH79012,94887304077,amina Sani,M,0803 027 8754,Port Harcourt,12,0.4,CASH TRANSFER,N/A,No
HH60898,37087669274,ngozi OYEBANJO,FEMALE,0701 117 0368,Lagos,12,0.284,NCTP,N/A,No
HH51479,34460099627,IBRAHIM OYEBANJO,F,09056051017,Kaduna,8,0.787,NCTP,"12,500.75",no
HH74209,11453216787,chidi okafor,F,8064240577,ABUJA,7,0.934,cash transfer ,"12,500.75",Yes
HH47293,7644830811,chidi mohammed,FEMALE,+2348066882727,Kaduna,3,0.277,cash transfer,30000,No
HH81144,8302655313,chidi BELLO,FEMALE,+2348036381511,Rivers,2,0.742,cash transfer,N/A,no
HH69838,26418969696,fatima OYEBANJO,M,0806 923 6188,Kastina,12,0.968,grant,N/A,n
HH34542,33809395467,ADA Sani,M,0701 327 0330,Benue,2,0.609,NCTP ,"12,500.75",Yes
HH84763,80851211155,amina adeyemi,FEMALE,+2348038960400,ABUJA,11,0.243,cash transfer,"N45,000",YES
HH56016,68118889582,Aisha nwosu,F,+2349050541614,ABUJA,5,0.674,nctp,"12,500.75",YES
